Place,Date,Time,Value_Cloacal,Unit,Thermocouple_Cloacal,Value_Dorsal,Unit,Thermocouple_Dorsal,Value,Unit,Value,Unit,Lizard
158,10/18/2021,13:29:09,24.4,T1 KTemp C,E,24.6,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
159,10/18/2021,13:29:10,24.4,T1 KTemp C,E,24.6,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
160,10/18/2021,13:29:11,24.4,T1 KTemp C,E,24.6,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
161,10/18/2021,13:29:12,24.4,T1 KTemp C,E,24.6,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
162,10/18/2021,13:29:13,24.4,T1 KTemp C,E,24.6,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
163,10/18/2021,13:29:14,24.4,T1 KTemp C,E,24.6,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
164,10/18/2021,13:29:15,24.4,T1 KTemp C,E,24.6,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
165,10/18/2021,13:29:16,24.4,T1 KTemp C,E,24.6,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
166,10/18/2021,13:29:17,24.4,T1 KTemp C,E,24.6,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
167,10/18/2021,13:29:18,24.4,T1 KTemp C,E,24.6,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
168,10/18/2021,13:29:19,24.4,T1 KTemp C,E,24.6,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
169,10/18/2021,13:29:20,24.4,T1 KTemp C,E,24.6,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
170,10/18/2021,13:29:21,24.4,T1 KTemp C,E,24.6,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
171,10/18/2021,13:29:22,24.4,T1 KTemp C,E,24.6,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
172,10/18/2021,13:29:23,24.4,T1 KTemp C,E,24.6,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
173,10/18/2021,13:29:24,24.4,T1 KTemp C,E,24.6,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
174,10/18/2021,13:29:25,24.4,T1 KTemp C,E,24.6,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
175,10/18/2021,13:29:26,24.4,T1 KTemp C,E,24.6,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
176,10/18/2021,13:29:27,24.4,T1 KTemp C,E,24.6,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
177,10/18/2021,13:29:28,24.4,T1 KTemp C,E,24.6,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
178,10/18/2021,13:29:29,24.4,T1 KTemp C,E,24.6,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
179,10/18/2021,13:29:30,24.4,T1 KTemp C,E,24.6,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
180,10/18/2021,13:29:31,24.4,T1 KTemp C,E,24.6,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
181,10/18/2021,13:29:32,24.4,T1 KTemp C,E,24.6,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
182,10/18/2021,13:29:33,24.4,T1 KTemp C,E,24.6,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
183,10/18/2021,13:29:34,24.4,T1 KTemp C,E,24.6,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
184,10/18/2021,13:29:35,24.4,T1 KTemp C,E,24.6,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
185,10/18/2021,13:29:36,24.4,T1 KTemp C,E,24.6,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
186,10/18/2021,13:29:37,24.4,T1 KTemp C,E,24.6,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
187,10/18/2021,13:29:38,24.4,T1 KTemp C,E,24.6,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
188,10/18/2021,13:29:39,24.4,T1 KTemp C,E,24.6,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
189,10/18/2021,13:29:40,24.4,T1 KTemp C,E,24.6,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
190,10/18/2021,13:29:41,24.4,T1 KTemp C,E,24.6,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
191,10/18/2021,13:29:42,24.4,T1 KTemp C,E,24.6,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
